CGPA,Human_resources,Instructional_materials,Physical_facilities,Internet_accessibility,Transportation,Security,Students_accomodation,Electricity
2.89,3.33,2.5,3,1.33,2.67,1.33,2.5,1.67
2.56,4.5,4.75,4.57,1.67,3.67,2,1.5,1
3.22,3,3,3,2,4,4,4,1
3,3.67,3,3,1,4.33,2,5,1.33
3.2,4,3.5,3.29,1.33,1.67,4.67,1.5,1.67
3.22,4,2.25,3.86,1,3.67,3.33,4,1.33
3.9,4.67,3.5,4.57,2.67,2,2.33,2,2
2.87,5,4,4.86,2.67,1.67,4,4,4.33
3.49,3.5,2,3,1,5,2.67,3,1
2.8,4.33,4,3.71,3.67,3.33,3.67,4,3.67
2.97,3.83,3.75,3.86,3.33,4,3.33,3.5,3
2.75,5,3.5,4.14,4,4,3,3,3.33
3.05,5,3.5,4.43,4,4,4,4,5
2.58,4.33,3,4,1,3.67,3,4,1.33
3.05,4.17,2,3.86,1.67,4,3.67,2,1.67
3.06,5,5,3.71,1.67,1,2,1,5
2.61,5,3.5,3.71,2,1,5,5,3
2.41,4,3,5,1,4,4,2,3.33
3.16,3.83,3.25,3.86,1.33,4,2.67,1,2
2.25,2.17,3.25,4,1.67,1.67,1.33,2,3
3.36,4.67,3,4.14,1,3.67,1,2,4
3.65,5,3,5,1,3.67,1.33,1,3
3.43,2,4.25,4.29,2,2,2,2.5,2
2.59,5,3,3.57,2,1,1,1.5,2
2.62,3.17,4,4.43,1.67,2,1,2,1.33
3.56,3.83,4.75,4,2,1,2.33,1.5,2
3.43,4.33,2.75,3.14,1,4.33,3.67,3,1.33
3.61,4.17,2.75,2.29,1,4.33,3.67,3,1.33
3.55,4.17,2.75,2.57,1,4.33,3.67,3,1.33
3.83,3.83,3.25,2.71,1,3.67,3.67,3,1.33
3.33,3.83,2.75,2.86,1,4.33,3.67,3,1.33
3.01,4,2.25,3,1,3.33,2.67,3.5,2.67
3.34,4,3,3.57,1.33,3.67,3.67,3,3
3.46,4.17,3.25,2.86,1,3.67,3.67,3,3.33
3.25,4,2.75,3.29,1,4.33,3.67,3,1.33
2.91,3.83,3.25,2.71,1,4.33,3.33,3,1.33
3.92,3.17,2.75,2.57,1,4.33,3.67,3,1.33
3.49,4.33,3.25,2.71,1,4.33,3.67,3,1.33
3.26,3.5,3,2.71,1,4.33,3.67,3,1.33
3.33,3.17,3,3.14,1,4.33,3.67,3,1.33
3.07,3.5,3,3.29,1,3.67,3.67,3,3
3.69,4.17,3.25,2.86,1,4.33,3.67,3,1.33
2.96,3.67,3,2.86,1,4.33,3.67,3,1.33
3.85,3.83,3.25,3.71,2,3.33,4,2.5,3
2.52,3.5,2.75,4,1,4,4,2,2.33
3.25,3.5,3.5,4,2,3.33,4,4,2
3.48,3.5,2.75,3.29,1,3.67,4,3.5,2
3.82,3.67,2.75,3.29,2,4,4,3,2
2.58,4.5,3.5,3.14,2,4,4,3,2
3,3.67,2.75,3.29,2,3.67,4,3.5,2
2.45,4.17,2.75,3.14,2,4,3.33,3,1.33
3.52,3.5,2.75,3.14,2,3,4,3,2.33
2.95,3.33,3.5,3.14,2,4,4,3,2
2.68,3.5,3.5,3.43,1,3,2.67,3.5,2
3.5,3.83,3.5,3.43,1.33,3.33,4,3,2
2.12,3.5,2.75,3.43,2,4,4,2,1.33
3.5,3.33,2.25,2.14,1,2.33,1.33,2.5,1
3.38,4.67,4.25,4,1.33,3.67,3.67,1,1.67
3.29,3.67,1.75,1.86,2,4.67,4.33,2.5,2.33
3.62,4.5,3.5,3.14,1.67,3,3.67,1,2
2.11,3.17,2.25,2.43,1,3,1.33,3,1
2.91,3,2,3,1,2.67,1,2.5,1
3.42,3.17,2.25,2.71,1,2,2,3,1
2.21,4.17,2.75,2.43,1.67,4.33,3.33,3,2
3.37,3.33,2.75,3.14,1.33,3.67,3.33,3.5,2
2.58,3.83,4,2.86,1,4.33,2.67,3.5,2.33
2.45,3,2.5,2.86,1,3.33,3.67,2,1.33
3.43,3,2.25,2.29,1,3.33,1,3,1
2.85,3.17,2.75,2.86,1,2.67,1,3,1
2.08,2.5,2.25,3,1,3,1,3,1
2.2,3.33,2.25,2.43,1,4,3.33,2,1.67
2.3,3.83,3,3.71,2,3,3,2.5,2
3.5,3.83,2.75,3.86,1,4,1.67,2.5,2
3.16,4.5,3,3.86,2.33,3,2.33,3.5,2.67
3,3.83,2.5,3.71,2,3,3,3,2.33
2.16,3.83,3,3.71,2,3,2.67,2.5,2.33
3.24,3.83,3,3.71,2,3,2.67,2.5,2.67
3.44,4.5,3,3.86,2.33,3,2.67,3.5,2.33
3.2,3.83,3,3.71,2,2.67,2.67,3,2.67
2.45,4.83,4,3.71,2,3,3.33,2.5,2.33
3.12,4.5,3,3.86,2.33,3,3,2.5,2.67
3.65,3.17,2.5,2.43,1,4.33,2.67,2.5,1
3.49,3.5,2.75,3.57,1,3.33,3.33,4,1
2.99,4,2.75,3.14,1,5,4,3,1.33
3.2,3.67,3.5,3.29,1.67,3.33,3.67,3,1.67
3.22,3.33,2.75,2.43,1.33,2.67,2,3,1
3.51,3.83,3,3.29,1,4,4,2.5,1
3,3.67,2.75,3.43,1,3.33,4,3,1
3.25,3.67,2.75,3.43,1,3.67,3.67,3.5,1
2.35,3.67,2.75,3.43,2,3.67,4,3,1.33
2.15,2.83,3,2.29,2.33,2.67,1,2.5,1
3.17,4,3.5,3.29,2.33,2,3.33,3,3
2.87,3.83,3.25,3.43,2,4,4,3,2
3.57,3.67,3.75,3.43,2,4,3.67,3,2
